Connections,Side 1 dependency,Side 2 dependency,Collisions
1,PST01_01-57,PST01_01-00,<null>
2,PST01_01-58,PST01_01-01,<null>
3,PST01_01-57,PST01_01-02,<null>
4,PST01_01-84,PST01_01-02,PST01_01-85
5,PST01_01-57,PST01_01-03,<null>
6,PST01_01-84,PST01_01-03,PST01_01-85
7,PST01_01-82,PST01_01-04,PST01_01-81
8,PST01_01-109,PST01_01-04,<null>
9,PST01_01-82,PST01_01-05,PST01_01-81
10,PST01_01-90,PST01_01-05,<null>
11,PST01_01-96,PST01_01-06,<null>
12,PST01_01-62,PST01_01-06,PST01_01-104
13,PST01_01-99,PST01_01-07,<null>
14,PST01_01-58,PST01_01-07,<null>
15,PST01_01-98,PST01_01-08,<null>
16,PST01_01-58,PST01_01-08,<null>
17,PST01_01-101,PST01_01-09,<null>
18,PST01_01-58,PST01_01-09,<null>
19,PST01_01-99,PST01_01-10,<null>
20,PST01_01-58,PST01_01-10,<null>
21,PST01_01-100,PST01_01-11,<null>
22,PST01_01-58,PST01_01-11,<null>
23,PST01_01-101,PST01_01-12,<null>
24,PST01_01-58,PST01_01-12,<null>
25,PST01_01-65,PST01_01-13,PST01_01-64
26,PST01_01-58,PST01_01-13,<null>
27,PST01_01-65,PST01_01-14,PST01_01-64
28,PST01_01-58,PST01_01-14,<null>
29,PST01_01-100,PST01_01-15,<null>
30,PST01_01-58,PST01_01-15,<null>
31,PST01_01-98,PST01_01-16,<null>
32,PST01_01-58,PST01_01-16,<null>
33,PST01_01-70,PST01_01-17,PST01_01-69
34,PST01_01-58,PST01_01-17,<null>
35,PST01_01-70,PST01_01-18,PST01_01-69
36,PST01_01-58,PST01_01-18,<null>
37,PST01_01-72,PST01_01-19,PST01_01-71
38,PST01_01-58,PST01_01-19,<null>
39,PST01_01-72,PST01_01-20,PST01_01-71
40,PST01_01-58,PST01_01-20,<null>
41,PST01_01-72,PST01_01-21,PST01_01-71
42,PST01_01-58,PST01_01-21,<null>
43,PST01_01-72,PST01_01-22,PST01_01-71
44,PST01_01-58,PST01_01-22,<null>
45,PST01_01-73,PST01_01-23,PST01_01-109
46,PST01_01-58,PST01_01-23,<null>
47,PST01_01-73,PST01_01-24,PST01_01-109
48,PST01_01-58,PST01_01-24,<null>
49,PST01_01-96,PST01_01-25,<null>
50,PST01_01-103,PST01_01-25,<null>
51,PST01_01-57,PST01_01-26,<null>
52,PST01_01-78,PST01_01-26,<null>
53,PST01_01-57,PST01_01-27,<null>
54,PST01_01-78,PST01_01-27,<null>
55,PST01_01-107,PST01_01-28,<null>
56,PST01_01-58,PST01_01-28,<null>
57,PST01_01-107,PST01_01-29,<null>
58,PST01_01-58,PST01_01-29,<null>
59,PST01_01-108,PST01_01-30,<null>
60,PST01_01-90,PST01_01-30,<null>
61,PST01_01-57,PST01_01-31,<null>
62,PST01_01-93,PST01_01-31,PST01_01-94
63,PST01_01-57,PST01_01-32,<null>
64,PST01_01-93,PST01_01-32,PST01_01-94
65,PST01_01-57,PST01_01-33,<null>
66,PST01_01-110,PST01_01-33,<null>
67,PST01_01-57,PST01_01-34,<null>
68,PST01_01-103,PST01_01-34,<null>
69,PST01_01-57,PST01_01-35,<null>
70,PST01_01-103,PST01_01-35,<null>
71,PST01_01-82,PST01_01-36,PST01_01-81
72,PST01_01-58,PST01_01-36,<null>
73,PST01_01-108,PST01_01-37,<null>
74,PST01_01-58,PST01_01-37,<null>
75,PST01_01-102,PST01_01-38,PST01_01-106
76,PST01_01-108,PST01_01-38,PST01_01-81
77,PST01_01-103,PST01_01-39,PST01_01-104
78,PST01_01-106,PST01_01-39,PST01_01-102
79,PST01_01-110,PST01_01-40,PST01_01-94
80,PST01_01-104,PST01_01-40,PST01_01-103
81,PST01_01-108,PST01_01-41,<null>
82,PST01_01-58,PST01_01-41,<null>
83,PST01_01-103,PST01_01-42,PST01_01-59
84,PST01_01-106,PST01_01-42,PST01_01-102
85,PST01_01-102,PST01_01-43,PST01_01-106
86,PST01_01-107,PST01_01-43,PST01_01-71
87,PST01_01-107,PST01_01-44,<null>
88,PST01_01-58,PST01_01-44,<null>
89,PST01_01-102,PST01_01-45,PST01_01-106
90,PST01_01-97,PST01_01-45,PST01_01-95
91,PST01_01-95,PST01_01-46,PST01_01-97
92,PST01_01-107,PST01_01-46,PST01_01-71
93,PST01_01-95,PST01_01-47,PST01_01-97
94,PST01_01-107,PST01_01-47,PST01_01-71
95,PST01_01-102,PST01_01-48,PST01_01-106
96,PST01_01-97,PST01_01-48,PST01_01-95
97,PST01_01-82,PST01_01-49,PST01_01-81
98,PST01_01-58,PST01_01-49,<null>
99,PST01_01-57,PST01_01-50,<null>
100,PST01_01-62,PST01_01-50,PST01_01-104
101,PST01_01-57,PST01_01-51,<null>
102,PST01_01-103,PST01_01-51,<null>
103,PST01_01-103,PST01_01-52,<null>
104,PST01_01-102,PST01_01-53,PST01_01-106
105,PST01_01-58,PST01_01-53,<null>
106,PST01_01-102,PST01_01-54,PST01_01-106
107,PST01_01-58,PST01_01-54,<null>
108,PST01_01-109,PST01_01-55,PST01_01-79
109,PST01_01-58,PST01_01-55,<null>
110,PST01_01-57,PST01_01-56,<null>
111,PST01_01-104,PST01_01-56,PST01_01-103
112,PST01_01-52,PST01_01-57,<null>
113,PST01_01-00,PST01_01-58,<null>
114,PST01_01-52,PST01_01-59,PST01_01-34
115,PST01_01-01,PST01_01-59,<null>
116,PST01_01-45,PST01_01-60,<null>
117,PST01_01-01,PST01_01-60,<null>
118,PST01_01-46,PST01_01-61,<null>
119,PST01_01-01,PST01_01-61,<null>
120,PST01_01-56,PST01_01-62,<null>
121,PST01_01-25,PST01_01-62,PST01_01-51
122,PST01_01-45,PST01_01-63,<null>
123,PST01_01-01,PST01_01-63,<null>
124,PST01_01-00,PST01_01-64,<null>
125,PST01_01-24,PST01_01-64,PST01_01-23
126,PST01_01-00,PST01_01-65,<null>
127,PST01_01-24,PST01_01-65,PST01_01-23
128,PST01_01-46,PST01_01-66,<null>
129,PST01_01-01,PST01_01-66,<null>
130,PST01_01-17,PST01_01-67,PST01_01-18
131,PST01_01-01,PST01_01-67,<null>
132,PST01_01-17,PST01_01-68,PST01_01-18
133,PST01_01-01,PST01_01-68,<null>
134,PST01_01-21,PST01_01-69,PST01_01-22
135,PST01_01-01,PST01_01-69,<null>
136,PST01_01-21,PST01_01-70,PST01_01-22
137,PST01_01-01,PST01_01-70,<null>
138,PST01_01-28,PST01_01-71,PST01_01-29
139,PST01_01-01,PST01_01-71,<null>
140,PST01_01-28,PST01_01-72,PST01_01-29
141,PST01_01-01,PST01_01-72,<null>
142,PST01_01-00,PST01_01-73,<null>
143,PST01_01-55,PST01_01-73,<null>
144,PST01_01-00,PST01_01-74,<null>
145,PST01_01-38,PST01_01-74,<null>
146,PST01_01-00,PST01_01-75,<null>
147,PST01_01-38,PST01_01-75,<null>
148,PST01_01-00,PST01_01-76,<null>
149,PST01_01-39,PST01_01-76,<null>
150,PST01_01-00,PST01_01-77,<null>
151,PST01_01-04,PST01_01-77,PST01_01-49
152,PST01_01-50,PST01_01-78,PST01_01-56
153,PST01_01-51,PST01_01-78,PST01_01-35
154,PST01_01-00,PST01_01-79,<null>
155,PST01_01-04,PST01_01-79,PST01_01-49
156,PST01_01-03,PST01_01-80,PST01_01-00
157,PST01_01-02,PST01_01-80,PST01_01-32
158,PST01_01-00,PST01_01-81,<null>
159,PST01_01-30,PST01_01-81,PST01_01-41
160,PST01_01-00,PST01_01-82,<null>
161,PST01_01-30,PST01_01-82,PST01_01-41
162,PST01_01-00,PST01_01-83,<null>
163,PST01_01-40,PST01_01-83,<null>
164,PST01_01-00,PST01_01-84,<null>
165,PST01_01-32,PST01_01-84,PST01_01-31
166,PST01_01-00,PST01_01-85,<null>
167,PST01_01-32,PST01_01-85,PST01_01-31
168,PST01_01-00,PST01_01-86,<null>
169,PST01_01-40,PST01_01-86,<null>
170,PST01_01-00,PST01_01-87,<null>
171,PST01_01-39,PST01_01-87,<null>
172,PST01_01-37,PST01_01-88,PST01_01-41
173,PST01_01-54,PST01_01-88,PST01_01-53
174,PST01_01-42,PST01_01-89,<null>
175,PST01_01-01,PST01_01-89,<null>
176,PST01_01-36,PST01_01-90,PST01_01-49
177,PST01_01-41,PST01_01-90,PST01_01-37
178,PST01_01-42,PST01_01-91,<null>
179,PST01_01-01,PST01_01-91,<null>
180,PST01_01-53,PST01_01-92,PST01_01-54
181,PST01_01-44,PST01_01-92,PST01_01-29
182,PST01_01-00,PST01_01-93,<null>
183,PST01_01-33,PST01_01-93,PST01_01-56
184,PST01_01-00,PST01_01-94,<null>
185,PST01_01-33,PST01_01-94,PST01_01-56
186,PST01_01-43,PST01_01-95,<null>
187,PST01_01-01,PST01_01-95,<null>
188,PST01_01-50,PST01_01-96,PST01_01-56
189,PST01_01-51,PST01_01-96,PST01_01-35
190,PST01_01-43,PST01_01-97,<null>
191,PST01_01-01,PST01_01-97,<null>
192,PST01_01-53,PST01_01-98,PST01_01-54
193,PST01_01-44,PST01_01-98,PST01_01-29
194,PST01_01-37,PST01_01-99,PST01_01-41
195,PST01_01-54,PST01_01-99,PST01_01-53
196,PST01_01-36,PST01_01-100,PST01_01-49
197,PST01_01-41,PST01_01-100,PST01_01-37
198,PST01_01-55,PST01_01-101,PST01_01-23
199,PST01_01-49,PST01_01-101,PST01_01-36
200,PST01_01-00,PST01_01-102,<null>
201,PST01_01-01,PST01_01-102,<null>
202,PST01_01-00,PST01_01-103,<null>
203,PST01_01-01,PST01_01-103,<null>
204,PST01_01-00,PST01_01-104,<null>
205,PST01_01-25,PST01_01-104,PST01_01-51
206,PST01_01-03,PST01_01-105,PST01_01-00
207,PST01_01-02,PST01_01-105,PST01_01-32
208,PST01_01-00,PST01_01-106,<null>
209,PST01_01-01,PST01_01-106,<null>
210,PST01_01-53,PST01_01-107,PST01_01-54
211,PST01_01-01,PST01_01-107,<null>
212,PST01_01-00,PST01_01-108,<null>
213,PST01_01-54,PST01_01-108,PST01_01-53
214,PST01_01-00,PST01_01-109,<null>
215,PST01_01-49,PST01_01-109,PST01_01-36
216,PST01_01-00,PST01_01-110,<null>
217,PST01_01-56,PST01_01-110,PST01_01-50